DateTime,Average USD,Sales USD
2018-04-30 0:00,33.14,107291.18
2018-05-01 0:00,31.95,68029.8
2018-05-02 0:00,47.03,94953.32
2018-05-03 0:00,41.07,67185.24
2018-05-04 0:00,30.49,84092.46
2018-05-05 0:00,25.39,87058.6
2018-05-06 0:00,21.95,60699.12
2018-05-07 0:00,21.52,57791.7
2018-05-08 0:00,21.74,79385.7
2018-05-09 0:00,24.14,56313.78
2018-05-10 0:00,26.36,53906.92
2018-05-11 0:00,29.23,71415.94
2018-05-12 0:00,17.04,38093.56
2018-05-13 0:00,24.96,44100.14
2018-05-14 0:00,20.6,28611.06
2018-05-15 0:00,16.16,26244.34
2018-05-16 0:00,17.99,43725.95
2018-05-17 0:00,13.5,52018.62
2018-05-18 0:00,15.45,51810.91
2018-05-19 0:00,12.36,44705.53
2018-05-20 0:00,20.25,53104.13
2018-05-21 0:00,17.29,31178.77
2018-05-22 0:00,16.83,30749.6
2018-05-23 0:00,16.79,28326.78
2018-05-24 0:00,14.33,43028
2018-05-25 0:00,23.1,52285.41
2018-05-26 0:00,18.15,49105.88
2018-05-27 0:00,14.51,40576.71
2018-05-28 0:00,23.7,48516.25
2018-05-29 0:00,12.61,51311.4
2018-05-30 0:00,13.49,60481.49
2018-05-31 0:00,13.42,44200.67
2018-06-01 0:00,12.05,33708.56
2018-06-02 0:00,16.68,47632.85
2018-06-03 0:00,25.52,58260.63
2018-06-04 0:00,23.14,49757.85
2018-06-05 0:00,22.73,56248.57
2018-06-06 0:00,27.35,53603.46
2018-06-07 0:00,29.7,63251.61
2018-06-08 0:00,33.4,67539.75
2018-06-09 0:00,13.14,36132.86
2018-06-10 0:00,19.87,40044.2
2018-06-11 0:00,12.9,42276.2
2018-06-12 0:00,13.21,36185.97
2018-06-13 0:00,23.49,50917.29
2018-06-14 0:00,24.35,45506.05
2018-06-15 0:00,9.63,50113.16
2018-06-16 0:00,12.23,28173.59
2018-06-17 0:00,25.4,60411.98
2018-06-18 0:00,37.53,99729.94
2018-06-19 0:00,36.51,96487.65
2018-06-20 0:00,24.34,45533.18
2018-06-21 0:00,24.22,71863.75
2018-06-22 0:00,11.65,58962.91
2018-06-23 0:00,16.75,48488.66
2018-06-24 0:00,18.41,54035.17
2018-06-25 0:00,18.2,45043.33
2018-06-26 0:00,17.68,39721.41
2018-06-27 0:00,16.03,37967.99
2018-06-28 0:00,16.14,41096.7
2018-06-29 0:00,18.8,60564.87
2018-06-30 0:00,15.4,36665.86
2018-07-01 0:00,15.24,20020.92
2018-07-02 0:00,26.07,17961.66
2018-07-03 0:00,50.72,31245.32
2018-07-04 0:00,139.07,104023.52
2018-07-05 0:00,35.34,33501.47
2018-07-06 0:00,13.58,22645.59
2018-07-07 0:00,14,17567.16
2018-07-08 0:00,12.63,22322.22
2018-07-09 0:00,13.29,36809.21
2018-07-10 0:00,15.72,31586.37
2018-07-11 0:00,16.79,40208.21
2018-07-12 0:00,15.06,44827.17
2018-07-13 0:00,12.48,47345.67
2018-07-14 0:00,11.96,18910.35
2018-07-15 0:00,23.27,31901.69
2018-07-16 0:00,25.93,56275.22
2018-07-17 0:00,22.51,42418.14
2018-07-18 0:00,26.23,47208.02
2018-07-19 0:00,16.99,33490.58
2018-07-20 0:00,15.57,26723.05
2018-07-21 0:00,13.59,29915.69
2018-07-22 0:00,25.23,53092.9
2018-07-23 0:00,19.79,42770.1
2018-07-24 0:00,28.25,52211.37
2018-07-25 0:00,17.15,41542.34
2018-07-26 0:00,13.14,44163.95
2018-07-27 0:00,101.67,415721.05
2018-07-28 0:00,295.09,897060.38
2018-07-29 0:00,14.01,30689.46
2018-07-30 0:00,96.75,173964.94
2018-07-31 0:00,46.54,94111.36
2018-08-01 0:00,13.48,34035.58
2018-08-02 0:00,100.24,232951.42
2018-08-03 0:00,26.59,46194.89
2018-08-04 0:00,27.1,53761.15
2018-08-05 0:00,32.78,57666.62
2018-08-06 0:00,27.95,44249.93
2018-08-07 0:00,38.34,53018.14
2018-08-08 0:00,23.28,33993.72
2018-08-09 0:00,23.99,33134.96
2018-08-10 0:00,14.63,21132.72
2018-08-11 0:00,11.22,20521.51
2018-08-12 0:00,10.7,25435.06
2018-08-13 0:00,13.19,34192.91
2018-08-14 0:00,24.09,78348.73
2018-08-15 0:00,19.6,65210.84
2018-08-16 0:00,14.13,51676.01
2018-08-17 0:00,11.43,57891.83
2018-08-18 0:00,14.85,88665.99
2018-08-19 0:00,10.95,73427.4
2018-08-20 0:00,13.72,48430.36
2018-08-21 0:00,23.03,82445.62
2018-08-22 0:00,19.86,51791.4
2018-08-23 0:00,23.9,101186.29
2018-08-24 0:00,17.88,94878.07
2018-08-25 0:00,32.56,157056.88
2018-08-26 0:00,13.06,50377.17
2018-08-27 0:00,12.73,64095.11
2018-08-28 0:00,18.89,79556.21
2018-08-29 0:00,13.81,69637.97
2018-08-30 0:00,8.09,67406.22
2018-08-31 0:00,7.78,82550.91
2018-09-01 0:00,8.34,79217.93
2018-09-02 0:00,9.35,75485.71
2018-09-03 0:00,10.33,75655.12
2018-09-04 0:00,45.41,226059.8
2018-09-05 0:00,16.93,94771.44
2018-09-06 0:00,7.12,51758.93
2018-09-07 0:00,9.52,75774.96
2018-09-08 0:00,16.15,98217.06
2018-09-09 0:00,9.65,87643.33
2018-09-10 0:00,18.7,149738.13
2018-09-11 0:00,7.44,79343.21
2018-09-12 0:00,16.94,158998.88
2018-09-13 0:00,37.06,163278.98
2018-09-14 0:00,31.37,146175.87
2018-09-15 0:00,27.52,103175.33
2018-09-16 0:00,54.56,177417.95
2018-09-17 0:00,17.94,68913.98
2018-09-18 0:00,20.78,88322.71
2018-09-19 0:00,21.72,116362.76
2018-09-20 0:00,22.21,98589.29
2018-09-21 0:00,29.87,157580.56
2018-09-22 0:00,9.72,68630.75
2018-09-23 0:00,37.29,203709.92
2018-09-24 0:00,17.76,85269.65
2018-09-25 0:00,13.73,64890.22
2018-09-26 0:00,14.41,83598.75
2018-09-27 0:00,16.61,102634.9
2018-09-28 0:00,13.57,49167.79
2018-09-29 0:00,19.96,83731.53
2018-09-30 0:00,10.58,52043.3
2018-10-01 0:00,16.55,72407.7
2018-10-02 0:00,28.36,88207.8
2018-10-03 0:00,41.62,156822.62
2018-10-04 0:00,28.05,119477.94
2018-10-05 0:00,15.37,112784.22
2018-10-06 0:00,16.84,74562.88
2018-10-07 0:00,18.74,83273.57
2018-10-08 0:00,14.48,61012.91
2018-10-09 0:00,20.35,74761.82
2018-10-10 0:00,22.12,94893.11
2018-10-11 0:00,23.07,144445.78
2018-10-12 0:00,37.71,175673.57
2018-10-13 0:00,33.39,131840.31
2018-10-14 0:00,21.73,71707.36
2018-10-15 0:00,31.09,95913.81
2018-10-16 0:00,15.81,52748.85
2018-10-17 0:00,15.88,87001.5
2018-10-18 0:00,28,96608.84
2018-10-19 0:00,10.08,80351.65
2018-10-20 0:00,11.06,51126.12
2018-10-21 0:00,8.96,48900.38
2018-10-22 0:00,44.93,188476.6
2018-10-23 0:00,18.81,97175.92
2018-10-24 0:00,22.08,93004.51
2018-10-25 0:00,17.4,61318.64
2018-10-26 0:00,11.99,54046.47
2018-10-27 0:00,10.91,58350.19
2018-10-28 0:00,14.54,61873.52
2018-10-29 0:00,14.57,61703.39
2018-10-30 0:00,35.21,132255.64
2018-10-31 0:00,11.28,41644.82
2018-11-01 0:00,27.95,108860.2
2018-11-02 0:00,32.48,122969.92
2018-11-03 0:00,10.54,48018.46
2018-11-04 0:00,12.67,56912.69
2018-11-05 0:00,64.13,277425.75
2018-11-06 0:00,27.7,100671.18
2018-11-07 0:00,24.14,125927.39
2018-11-08 0:00,33.26,121546.15
2018-11-09 0:00,22.43,77313.44
2018-11-10 0:00,15.99,64334.29
2018-11-11 0:00,57.39,229312.47
2018-11-12 0:00,23.57,92202.75
2018-11-13 0:00,28.6,149130.72
2018-11-14 0:00,26.81,142126.66
2018-11-15 0:00,12.37,126557.97
2018-11-16 0:00,14.34,91658.7
2018-11-17 0:00,8.11,38937.05
2018-11-18 0:00,12.76,57880.13
2018-11-19 0:00,27.99,110098.14
2018-11-20 0:00,19.58,78741.24
2018-11-21 0:00,6.56,40302.9
2018-11-22 0:00,8.35,55182.4
2018-11-23 0:00,16.35,73669.01
2018-11-24 0:00,10.15,45921.94
2018-11-25 0:00,5.79,29626.97
2018-11-26 0:00,7.74,44322.19
2018-11-27 0:00,8.03,49564.01
2018-11-28 0:00,9.34,47789.9
2018-11-29 0:00,21.77,96461.53
2018-11-30 0:00,17.09,101154.94
2018-12-01 0:00,5.65,60527.32
2018-12-02 0:00,7.27,54617.29
2018-12-03 0:00,5.29,37493.78
2018-12-04 0:00,6.94,44192.96
2018-12-05 0:00,4.06,55041.12
2018-12-06 0:00,6.02,33172.03
2018-12-07 0:00,5,31740.9
2018-12-08 0:00,16.4,72353.54
2018-12-09 0:00,9.93,43542.13
2018-12-10 0:00,10.26,31709.93
2018-12-11 0:00,53.25,184655.46
2018-12-12 0:00,227.31,877650.89
2018-12-13 0:00,8.34,45389.88
2018-12-14 0:00,38.86,183749.83
2018-12-15 0:00,18.93,117979.45
2018-12-16 0:00,31.92,193151.42
2018-12-17 0:00,11.89,56039.71
2018-12-18 0:00,16.02,58721.29
2018-12-19 0:00,97.5,393317.84
2018-12-20 0:00,208.05,1018608.44
2018-12-21 0:00,409.66,2848776.8
2018-12-22 0:00,122.83,460007.26
2018-12-23 0:00,189.35,1354033.5
2018-12-24 0:00,16.81,66532.22
2018-12-25 0:00,20.65,64396.21
2018-12-26 0:00,8.96,26081.35
2018-12-27 0:00,9.8,27763.83
2018-12-28 0:00,19.89,63361.64
2018-12-29 0:00,8.14,24917.68
2018-12-30 0:00,17.83,54069.48
2018-12-31 0:00,18.26,61376.56
2019-01-01 0:00,8.37,20331.77
2019-01-02 0:00,11.05,29062.92
2019-01-03 0:00,16.78,44896.41
2019-01-04 0:00,19.06,51870.71
2019-01-05 0:00,11.11,30808.49
2019-01-06 0:00,270.01,733070.32
2019-01-07 0:00,11.78,37130.89
2019-01-08 0:00,23.6,55068.63
2019-01-09 0:00,17.68,42106.58
2019-01-10 0:00,12.43,42838.12
2019-01-11 0:00,7.15,59914.21
2019-01-12 0:00,12.12,70386.39
2019-01-13 0:00,15.88,86139.99
2019-01-14 0:00,23.23,105746.97
2019-01-15 0:00,8.02,33374.35
2019-01-16 0:00,15.44,67807.62
2019-01-17 0:00,12.18,45167.89
2019-01-18 0:00,12.52,57108.12
2019-01-19 0:00,9.5,39880.33
2019-01-20 0:00,13.65,63637.09
2019-01-21 0:00,7.9,33940.08
2019-01-22 0:00,10.26,24850.18
2019-01-23 0:00,9.14,27579
2019-01-24 0:00,7.33,27879.33
2019-01-25 0:00,13.87,44968.32
2019-01-26 0:00,5.16,36764.37
2019-01-27 0:00,8.86,59945.2
2019-01-28 0:00,12.83,61779.56
2019-01-29 0:00,7.84,25326.29
2019-01-30 0:00,267.53,889807.27
2019-01-31 0:00,9.57,28515.89
2019-02-01 0:00,8.25,31063.84
