DateTime,Number of sales,Active market wallets
2018-08-09 0:00,1381,431
2018-08-10 0:00,1444,493
2018-08-11 0:00,1829,535
2018-08-12 0:00,2377,592
2018-08-13 0:00,2593,730
2018-08-14 0:00,3252,794
2018-08-15 0:00,3327,810
2018-08-16 0:00,3657,824
2018-08-17 0:00,5066,808
2018-08-18 0:00,5972,893
2018-08-19 0:00,6706,757
2018-08-20 0:00,3531,792
2018-08-21 0:00,3580,863
2018-08-22 0:00,2608,696
2018-08-23 0:00,4234,816
2018-08-24 0:00,5306,905
2018-08-25 0:00,4823,826
2018-08-26 0:00,3857,757
2018-08-27 0:00,5036,808
2018-08-28 0:00,4212,887
2018-08-29 0:00,5042,860
2018-08-30 0:00,8333,936
2018-08-31 0:00,10616,902
2018-09-01 0:00,9500,922
2018-09-02 0:00,8075,894
2018-09-03 0:00,7327,866
2018-09-04 0:00,4978,902
2018-09-05 0:00,5597,972
2018-09-06 0:00,7273,1093
2018-09-07 0:00,7958,1083
2018-09-08 0:00,6080,999
2018-09-09 0:00,9086,1024
2018-09-10 0:00,8009,995
2018-09-11 0:00,10666,1024
2018-09-12 0:00,9386,1128
2018-09-13 0:00,4406,1078
2018-09-14 0:00,4660,992
2018-09-15 0:00,3749,898
2018-09-16 0:00,3252,904
2018-09-17 0:00,3841,911
2018-09-18 0:00,4251,1009
2018-09-19 0:00,5357,920
2018-09-20 0:00,4439,875
2018-09-21 0:00,5275,991
2018-09-22 0:00,7064,808
2018-09-23 0:00,5463,832
2018-09-24 0:00,4801,873
2018-09-25 0:00,4725,1079
2018-09-26 0:00,5803,1146
2018-09-27 0:00,6178,1309
2018-09-28 0:00,3623,1093
2018-09-29 0:00,4195,770
2018-09-30 0:00,4918,780
2018-10-01 0:00,4374,748
2018-10-02 0:00,3110,865
2018-10-03 0:00,3768,815
2018-10-04 0:00,4260,793
2018-10-05 0:00,7338,894
2018-10-06 0:00,4429,832
2018-10-07 0:00,4443,835
2018-10-08 0:00,4215,847
2018-10-09 0:00,3674,838
2018-10-10 0:00,4290,918
2018-10-11 0:00,6261,973
2018-10-12 0:00,4659,950
2018-10-13 0:00,3948,901
2018-10-14 0:00,3300,809
2018-10-15 0:00,3085,810
2018-10-16 0:00,3336,874
2018-10-17 0:00,5478,855
2018-10-18 0:00,3450,787
2018-10-19 0:00,7969,966
2018-10-20 0:00,4621,808
2018-10-21 0:00,5459,785
2018-10-22 0:00,4195,731
2018-10-23 0:00,5166,903
